Customer Id,Gender,Age,City,Signup Date,Order Id,Order Date,Restaurant Name,Dish Name,Category,Quantity,Price,Payment Method,Order Frequency,Last Order Date,Loyalty Points,Churned,Rating,Rating Date,Delivery Status
C3210,Other,Teenager,Karachi,"June 5, 2025",O7210,"September 1, 2023",Burger King,Pasta,Fast Food,2,$528.24,Cash,24,"February 8, 2025",149,Inactive,4,"August 24, 2024",Delayed
C3775,Other,Adult,Multan,"December 29, 2024",O7775,"September 1, 2023",Burger King,Fries,Chinese,2,$388.86,Cash,31,"September 1, 2024",39,Inactive,3,"October 5, 2024",Cancelled
C3733,Male,Adult,Multan,"December 18, 2024",O7733,"September 1, 2023",Burger King,Sandwich,Continental,4,$172.76,Wallet,23,"May 18, 2025",356,Inactive,5,"January 25, 2025",Delivered
C5134,Male,Senior,Lahore,"May 2, 2025",O9134,"September 2, 2023",Burger King,Sandwich,Chinese,3,$184.12,Card,41,"February 23, 2025",491,Inactive,4,"February 2, 2025",Cancelled
C2040,Male,Senior,Peshawar,"February 7, 2024",O6040,"September 3, 2023",Burger King,Pasta,Fast Food,4,"$1,418.27",Wallet,14,"May 18, 2025",291,Inactive,3,"February 10, 2025",Cancelled
C3705,Other,Teenager,Lahore,"May 15, 2024",O7705,"September 4, 2023",Burger King,Pasta,Italian,3,$881.71,Wallet,16,"June 25, 2025",26,Active,2,"November 20, 2024",Cancelled
C1727,Male,Adult,Multan,"August 26, 2023",O5727,"September 5, 2023",Burger King,Fries,Dessert,3,$465.28,Wallet,4,"June 6, 2025",71,Active,4,"June 15, 2025",Delivered
C1356,Female,Teenager,Islamabad,"October 13, 2024",O5356,"September 6, 2023",Burger King,Sandwich,Dessert,2,$235.82,Wallet,28,"August 16, 2025",452,Inactive,1,"August 25, 2024",Delayed
C2514,Male,Teenager,Multan,"August 10, 2024",O6514,"September 7, 2023",Burger King,Burger,Fast Food,3,$892.81,Cash,25,"July 2, 2025",335,Inactive,4,"February 20, 2025",Cancelled
C5399,Other,Teenager,Lahore,"April 12, 2024",O9399,"September 7, 2023",Burger King,Burger,Continental,4,"$1,043.78",Card,6,"April 15, 2025",114,Active,2,"June 5, 2025",Delayed
C5621,Other,Senior,Islamabad,"May 28, 2025",O9621,"September 7, 2023",Burger King,Fries,Italian,5,$162.05,Wallet,27,"January 24, 2025",271,Inactive,2,"June 9, 2025",Cancelled
C5722,Male,Teenager,Multan,"June 26, 2025",O9722,"September 7, 2023",Burger King,Fries,Continental,2,"$1,215.67",Wallet,8,"June 29, 2025",186,Inactive,4,"December 27, 2024",Delivered
C6273,Male,Teenager,Peshawar,"May 17, 2025",O10273,"September 7, 2023",Burger King,Pizza,Chinese,2,$614.00,Card,21,"March 5, 2025",52,Active,3,"November 5, 2024",Cancelled
C3949,Male,Adult,Peshawar,"October 18, 2024",O7949,"September 8, 2023",Burger King,Sandwich,Chinese,2,$212.59,Cash,26,"June 26, 2025",302,Active,1,"September 20, 2024",Delivered
C3717,Female,Senior,Islamabad,"July 1, 2024",O7717,"September 9, 2023",Burger King,Burger,Fast Food,4,$466.04,Cash,27,"September 25, 2024",169,Inactive,1,"April 10, 2025",Cancelled
C1799,Male,Adult,Multan,"February 22, 2025",O5799,"September 9, 2023",Burger King,Burger,Fast Food,3,"$1,128.96",Card,12,"August 17, 2025",487,Active,3,"May 13, 2025",Cancelled
C2045,Male,Adult,Karachi,"June 22, 2024",O6045,"September 9, 2023",Burger King,Sandwich,Chinese,2,"$1,207.62",Wallet,46,"February 22, 2025",91,Active,2,"March 13, 2025",Delivered
C3941,Other,Adult,Lahore,"October 3, 2023",O7941,"September 10, 2023",Burger King,Sandwich,Italian,3,$257.86,Wallet,47,"January 25, 2025",327,Inactive,5,"July 27, 2025",Cancelled
C3321,Male,Teenager,Multan,"May 10, 2024",O7321,"September 10, 2023",Burger King,Pasta,Dessert,5,$689.01,Card,3,"March 8, 2025",189,Inactive,3,"December 20, 2024",Cancelled
C6438,Male,Senior,Lahore,"January 26, 2025",O10438,"September 10, 2023",Burger King,Pasta,Continental,3,$648.85,Card,36,"August 19, 2025",289,Inactive,5,"July 7, 2025",Delivered
C6172,Other,Adult,Islamabad,"August 4, 2025",O10172,"September 11, 2023",Burger King,Burger,Italian,3,"$1,443.13",Card,1,"December 4, 2024",0,Inactive,1,"July 16, 2025",Delayed
C3641,Male,Adult,Karachi,"March 6, 2025",O7641,"September 11, 2023",Burger King,Sandwich,Continental,3,$191.26,Card,33,"September 17, 2024",393,Inactive,2,"May 4, 2025",Cancelled
C2458,Female,Adult,Islamabad,"February 11, 2024",O6458,"September 11, 2023",Burger King,Fries,Fast Food,3,"$1,442.35",Wallet,13,"March 7, 2025",188,Inactive,1,"May 6, 2025",Delayed
C5113,Female,Adult,Peshawar,"February 21, 2025",O9113,"September 11, 2023",Burger King,Pizza,Fast Food,5,"$1,381.09",Wallet,23,"April 14, 2025",193,Inactive,1,"July 10, 2025",Delivered
C6015,Other,Adult,Islamabad,"June 6, 2025",O10015,"September 11, 2023",Burger King,Pasta,Continental,1,"$1,423.77",Wallet,24,"January 30, 2025",197,Inactive,3,"July 3, 2025",Cancelled
C5410,Male,Senior,Multan,"January 13, 2024",O9410,"September 12, 2023",Burger King,Sandwich,Continental,2,"$1,217.64",Cash,27,"March 1, 2025",115,Active,4,"May 29, 2025",Delayed
C2453,Other,Senior,Peshawar,"November 20, 2024",O6453,"September 12, 2023",Burger King,Pizza,Continental,3,$889.41,Cash,24,"July 24, 2025",101,Active,5,"June 25, 2025",Cancelled
C5102,Male,Adult,Multan,"March 1, 2024",O9102,"September 13, 2023",Burger King,Pizza,Chinese,3,"$1,275.91",Card,33,"August 30, 2024",368,Active,4,"November 14, 2024",Delayed
C6883,Other,Senior,Peshawar,"August 19, 2025",O10883,"September 14, 2023",Burger King,Pizza,Chinese,1,"$1,116.09",Card,14,"July 19, 2025",83,Active,2,"October 30, 2024",Cancelled
C3821,Other,Senior,Peshawar,"June 29, 2025",O7821,"September 15, 2023",Burger King,Burger,Continental,4,"$1,219.14",Wallet,48,"May 12, 2025",167,Inactive,2,"January 13, 2025",Delivered
C5702,Other,Senior,Multan,"October 20, 2023",O9702,"September 16, 2023",Burger King,Pasta,Dessert,4,$200.97,Wallet,3,"September 12, 2024",238,Inactive,5,"June 12, 2025",Delayed
C6165,Female,Teenager,Karachi,"March 15, 2025",O10165,"September 16, 2023",Burger King,Fries,Dessert,4,"$1,074.93",Card,5,"January 22, 2025",215,Active,3,"December 10, 2024",Cancelled
C6496,Male,Adult,Lahore,"May 16, 2025",O10496,"September 17, 2023",Burger King,Pizza,Continental,2,$226.01,Cash,30,"November 14, 2024",402,Active,1,"January 15, 2025",Cancelled
C1993,Other,Senior,Peshawar,"January 13, 2024",O5993,"September 17, 2023",Burger King,Pizza,Fast Food,1,$219.65,Wallet,14,"July 9, 2025",394,Active,3,"September 4, 2024",Delayed
C5086,Female,Teenager,Multan,"May 16, 2025",O9086,"September 18, 2023",Burger King,Pizza,Dessert,5,"$1,287.99",Wallet,6,"August 30, 2024",186,Inactive,4,"November 19, 2024",Cancelled
C6104,Other,Senior,Peshawar,"February 1, 2024",O10104,"September 20, 2023",Burger King,Sandwich,Chinese,1,"$1,336.88",Wallet,9,"August 14, 2025",175,Active,3,"October 31, 2024",Delayed
C6704,Other,Adult,Islamabad,"August 22, 2023",O10704,"September 20, 2023",Burger King,Pizza,Dessert,5,$348.25,Cash,43,"September 19, 2024",143,Active,3,"January 10, 2025",Cancelled
C1892,Other,Senior,Multan,"December 13, 2024",O5892,"September 21, 2023",Burger King,Pasta,Chinese,2,$681.72,Card,10,"March 22, 2025",397,Inactive,5,"March 23, 2025",Delivered
C5363,Female,Teenager,Peshawar,"October 25, 2024",O9363,"September 21, 2023",Burger King,Pizza,Fast Food,4,$548.53,Card,21,"August 5, 2025",468,Active,4,"October 21, 2024",Delivered
C2180,Male,Adult,Karachi,"September 20, 2023",O6180,"September 21, 2023",Burger King,Sandwich,Fast Food,5,"$1,065.93",Wallet,32,"July 12, 2025",97,Active,3,"May 22, 2025",Delivered
C3151,Male,Teenager,Karachi,"January 11, 2024",O7151,"September 22, 2023",Burger King,Sandwich,Fast Food,4,$292.18,Cash,2,"July 12, 2025",374,Active,5,"January 7, 2025",Delivered
C2408,Male,Senior,Multan,"July 16, 2025",O6408,"September 22, 2023",Burger King,Pasta,Italian,4,"$1,395.01",Cash,19,"July 14, 2025",103,Active,4,"June 17, 2025",Delayed
C6767,Female,Teenager,Islamabad,"December 22, 2024",O10767,"September 23, 2023",Burger King,Sandwich,Fast Food,2,$224.91,Card,15,"August 19, 2025",443,Active,1,"October 1, 2024",Cancelled
C6547,Female,Senior,Islamabad,"November 21, 2024",O10547,"September 23, 2023",Burger King,Pizza,Dessert,1,$262.50,Cash,18,"May 26, 2025",60,Active,3,"November 2, 2024",Delayed
C4356,Male,Adult,Peshawar,"May 12, 2024",O8356,"September 23, 2023",Burger King,Pasta,Continental,3,$494.59,Card,6,"August 19, 2025",20,Inactive,3,"June 20, 2025",Delivered
C6304,Female,Teenager,Karachi,"November 8, 2024",O10304,"September 23, 2023",Burger King,Pizza,Italian,1,$228.02,Cash,7,"August 26, 2024",458,Active,4,"April 17, 2025",Delayed
C2248,Male,Adult,Peshawar,"December 30, 2023",O6248,"September 24, 2023",Burger King,Pizza,Continental,2,$760.42,Cash,10,"May 12, 2025",135,Active,3,"August 13, 2025",Delayed
C2836,Female,Adult,Lahore,"June 14, 2025",O6836,"September 25, 2023",Burger King,Sandwich,Fast Food,2,$714.38,Wallet,45,"February 22, 2025",252,Active,2,"November 6, 2024",Cancelled
C5866,Other,Adult,Peshawar,"February 6, 2025",O9866,"September 25, 2023",Burger King,Pasta,Fast Food,2,"$1,435.80",Card,42,"January 22, 2025",451,Active,3,"June 17, 2025",Delivered
C2018,Female,Adult,Islamabad,"August 7, 2025",O6018,"September 27, 2023",Burger King,Pasta,Continental,1,"$1,047.83",Cash,48,"November 23, 2024",13,Active,5,"March 4, 2025",Delayed
C6708,Female,Teenager,Karachi,"April 25, 2024",O10708,"September 27, 2023",Burger King,Pasta,Continental,2,$782.30,Cash,42,"February 4, 2025",344,Inactive,4,"July 27, 2025",Delayed
C3336,Other,Senior,Multan,"May 31, 2024",O7336,"September 28, 2023",Burger King,Burger,Continental,3,"$1,422.21",Cash,16,"November 13, 2024",468,Active,3,"February 28, 2025",Delivered
C2270,Male,Senior,Multan,"March 16, 2025",O6270,"September 29, 2023",Burger King,Fries,Fast Food,3,"$1,271.26",Wallet,33,"December 10, 2024",386,Inactive,3,"April 28, 2025",Cancelled
C4947,Other,Senior,Multan,"July 25, 2025",O8947,"September 29, 2023",Burger King,Fries,Continental,4,$547.68,Card,44,"May 20, 2025",413,Inactive,3,"March 30, 2025",Cancelled
C4681,Other,Senior,Peshawar,"January 3, 2025",O8681,"September 29, 2023",Burger King,Burger,Fast Food,4,"$1,266.35",Wallet,2,"January 21, 2025",181,Active,4,"January 2, 2025",Delayed
C6558,Other,Senior,Peshawar,"May 30, 2025",O10558,"September 29, 2023",Burger King,Sandwich,Continental,4,"$1,035.72",Cash,42,"August 2, 2025",95,Inactive,3,"February 16, 2025",Cancelled
C1645,Male,Adult,Lahore,"February 9, 2024",O5645,"September 30, 2023",Burger King,Pizza,Italian,4,$733.84,Cash,44,"April 11, 2025",331,Active,1,"February 19, 2025",Cancelled
C4910,Other,Senior,Multan,"November 25, 2023",O8910,"October 1, 2023",Burger King,Burger,Italian,3,"$1,456.76",Wallet,43,"March 13, 2025",291,Inactive,3,"September 12, 2024",Cancelled
C4588,Female,Adult,Karachi,"September 1, 2024",O8588,"October 1, 2023",Burger King,Pasta,Continental,3,$602.79,Card,29,"April 12, 2025",166,Active,2,"November 2, 2024",Delayed
C2221,Male,Senior,Lahore,"September 27, 2024",O6221,"October 2, 2023",Burger King,Sandwich,Dessert,2,$859.16,Cash,18,"August 20, 2025",107,Active,2,"July 14, 2025",Cancelled
C3098,Male,Teenager,Karachi,"November 14, 2024",O7098,"October 3, 2023",Burger King,Burger,Continental,1,"$1,479.44",Wallet,15,"November 18, 2024",268,Active,3,"January 27, 2025",Cancelled
C6928,Other,Adult,Lahore,"May 14, 2024",O10928,"October 3, 2023",Burger King,Fries,Chinese,5,$413.80,Cash,43,"May 27, 2025",105,Active,3,"November 23, 2024",Delivered
C1173,Male,Teenager,Multan,"August 22, 2024",O5173,"October 4, 2023",Burger King,Pizza,Italian,3,$341.10,Wallet,1,"May 15, 2025",183,Inactive,4,"November 10, 2024",Delayed
C1180,Male,Teenager,Karachi,"May 24, 2024",O5180,"October 4, 2023",Burger King,Pizza,Fast Food,2,$837.52,Wallet,32,"October 27, 2024",268,Inactive,4,"February 4, 2025",Cancelled
C3598,Female,Senior,Karachi,"August 15, 2025",O7598,"October 5, 2023",Burger King,Sandwich,Fast Food,4,$658.80,Wallet,10,"March 19, 2025",19,Active,3,"August 9, 2025",Cancelled
C5317,Male,Adult,Islamabad,"February 22, 2025",O9317,"October 5, 2023",Burger King,Burger,Continental,3,"$1,352.38",Cash,47,"April 20, 2025",352,Active,5,"July 28, 2025",Cancelled
C4758,Other,Senior,Multan,"March 30, 2025",O8758,"October 5, 2023",Burger King,Pasta,Chinese,2,"$1,353.28",Wallet,10,"May 30, 2025",175,Active,5,"April 16, 2025",Cancelled
C2902,Other,Teenager,Islamabad,"February 26, 2025",O6902,"October 6, 2023",Burger King,Pasta,Continental,2,$242.87,Wallet,7,"February 4, 2025",267,Active,2,"March 18, 2025",Delivered
C6829,Other,Teenager,Islamabad,"June 11, 2024",O10829,"October 6, 2023",Burger King,Burger,Continental,3,"$1,257.67",Card,48,"March 29, 2025",252,Active,1,"October 25, 2024",Delivered
C3250,Female,Teenager,Peshawar,"November 22, 2024",O7250,"October 6, 2023",Burger King,Pasta,Dessert,2,"$1,480.26",Card,37,"December 11, 2024",332,Inactive,4,"September 6, 2024",Delayed
C2082,Male,Senior,Peshawar,"February 9, 2025",O6082,"October 6, 2023",Burger King,Sandwich,Continental,5,"$1,351.93",Wallet,34,"July 9, 2025",90,Active,3,"September 11, 2024",Delivered
C3347,Other,Teenager,Islamabad,"December 26, 2024",O7347,"October 7, 2023",Burger King,Pasta,Chinese,2,"$1,014.57",Wallet,39,"November 28, 2024",300,Inactive,2,"November 17, 2024",Delayed
C5677,Male,Adult,Multan,"December 11, 2023",O9677,"October 7, 2023",Burger King,Pizza,Continental,3,$489.92,Wallet,7,"June 6, 2025",363,Active,2,"September 23, 2024",Delayed
C5314,Female,Senior,Islamabad,"November 12, 2024",O9314,"October 8, 2023",Burger King,Pasta,Dessert,2,"$1,366.00",Card,35,"August 16, 2025",436,Inactive,4,"January 9, 2025",Delivered
C5583,Male,Senior,Islamabad,"January 26, 2024",O9583,"October 8, 2023",Burger King,Pizza,Fast Food,5,$268.56,Cash,37,"October 20, 2024",281,Active,1,"October 24, 2024",Cancelled
C1347,Female,Adult,Peshawar,"March 18, 2025",O5347,"October 9, 2023",Burger King,Pizza,Fast Food,1,"$1,165.15",Wallet,45,"October 27, 2024",90,Active,5,"December 13, 2024",Delayed
C6809,Female,Teenager,Islamabad,"August 8, 2025",O10809,"October 9, 2023",Burger King,Fries,Continental,4,$363.50,Cash,11,"April 12, 2025",310,Active,4,"May 2, 2025",Delivered
C3880,Other,Senior,Lahore,"December 2, 2023",O7880,"October 10, 2023",Burger King,Pizza,Fast Food,1,"$1,448.45",Card,45,"August 9, 2025",138,Inactive,1,"December 26, 2024",Delayed
C2400,Male,Teenager,Lahore,"September 2, 2023",O6400,"October 10, 2023",Burger King,Pasta,Chinese,4,$911.26,Cash,48,"July 28, 2025",221,Active,1,"June 14, 2025",Delivered
C3563,Other,Senior,Lahore,"April 15, 2024",O7563,"October 10, 2023",Burger King,Sandwich,Italian,2,$378.24,Card,34,"October 1, 2024",490,Inactive,3,"April 9, 2025",Delayed
C6966,Male,Adult,Islamabad,"April 24, 2024",O10966,"October 12, 2023",Burger King,Fries,Continental,3,$282.79,Cash,44,"July 6, 2025",136,Inactive,3,"February 25, 2025",Delayed
C5612,Other,Teenager,Peshawar,"December 24, 2023",O9612,"October 13, 2023",Burger King,Fries,Fast Food,3,$708.99,Wallet,50,"October 26, 2024",212,Inactive,5,"July 14, 2025",Delivered
C4826,Male,Teenager,Islamabad,"July 13, 2025",O8826,"October 14, 2023",Burger King,Burger,Fast Food,2,"$1,451.72",Card,45,"August 9, 2025",38,Inactive,5,"August 12, 2025",Delivered
C2388,Male,Teenager,Multan,"May 2, 2024",O6388,"October 15, 2023",Burger King,Pizza,Fast Food,4,"$1,019.58",Wallet,30,"October 11, 2024",92,Inactive,2,"July 4, 2025",Delivered
C5983,Male,Senior,Karachi,"October 5, 2023",O9983,"October 16, 2023",Burger King,Pasta,Dessert,1,$408.56,Wallet,24,"June 8, 2025",344,Inactive,1,"June 29, 2025",Delayed
C1865,Other,Senior,Peshawar,"November 22, 2024",O5865,"October 16, 2023",Burger King,Pasta,Continental,3,$189.51,Cash,3,"September 27, 2024",173,Inactive,1,"March 19, 2025",Delivered
C1764,Male,Senior,Islamabad,"July 16, 2024",O5764,"October 16, 2023",Burger King,Sandwich,Chinese,5,$154.10,Card,37,"November 10, 2024",439,Inactive,1,"November 5, 2024",Delayed
C4769,Male,Senior,Lahore,"August 2, 2024",O8769,"October 17, 2023",Burger King,Fries,Italian,4,$490.51,Cash,43,"March 3, 2025",102,Inactive,4,"May 24, 2025",Cancelled
C3457,Other,Teenager,Islamabad,"March 8, 2024",O7457,"October 17, 2023",Burger King,Pizza,Dessert,4,$535.23,Card,50,"October 3, 2024",285,Active,3,"June 6, 2025",Cancelled
C1985,Female,Adult,Multan,"January 5, 2025",O5985,"October 18, 2023",Burger King,Pasta,Dessert,2,$623.28,Cash,38,"September 8, 2024",313,Active,1,"September 13, 2024",Delivered
C1763,Male,Adult,Karachi,"May 28, 2025",O5763,"October 19, 2023",Burger King,Burger,Fast Food,2,$839.66,Card,7,"May 30, 2025",424,Active,1,"January 1, 2025",Delayed
C1331,Female,Adult,Multan,"March 27, 2024",O5331,"October 20, 2023",Burger King,Fries,Dessert,4,"$1,196.17",Card,17,"February 10, 2025",452,Active,3,"March 11, 2025",Cancelled
C6077,Female,Teenager,Islamabad,"January 27, 2025",O10077,"October 20, 2023",Burger King,Pizza,Fast Food,4,"$1,307.57",Wallet,12,"June 24, 2025",102,Active,2,"August 29, 2024",Cancelled
C3231,Other,Adult,Peshawar,"January 26, 2024",O7231,"October 20, 2023",Burger King,Fries,Italian,4,$137.60,Cash,6,"February 20, 2025",140,Active,1,"November 19, 2024",Delayed
C5751,Other,Adult,Karachi,"September 14, 2024",O9751,"October 21, 2023",Burger King,Pizza,Fast Food,3,$557.90,Cash,20,"April 27, 2025",265,Inactive,5,"June 22, 2025",Delayed
C3716,Other,Teenager,Lahore,"December 25, 2023",O7716,"October 21, 2023",Burger King,Sandwich,Continental,1,"$1,412.49",Wallet,45,"March 30, 2025",222,Inactive,2,"October 12, 2024",Cancelled
C2692,Male,Adult,Multan,"December 19, 2023",O6692,"October 22, 2023",Burger King,Sandwich,Continental,4,$209.85,Wallet,14,"November 11, 2024",456,Inactive,3,"April 5, 2025",Delayed
C2374,Male,Senior,Multan,"January 12, 2024",O6374,"October 23, 2023",Burger King,Burger,Continental,1,"$1,033.01",Card,43,"March 27, 2025",27,Inactive,2,"February 15, 2025",Cancelled
C4773,Female,Teenager,Lahore,"August 18, 2025",O8773,"October 24, 2023",Burger King,Pizza,Dessert,1,"$1,025.78",Wallet,6,"February 6, 2025",85,Active,5,"October 20, 2024",Delayed
C2411,Male,Senior,Lahore,"April 24, 2024",O6411,"October 25, 2023",Burger King,Sandwich,Continental,2,$540.76,Cash,16,"July 14, 2025",398,Active,1,"August 9, 2025",Delayed
C1353,Other,Senior,Lahore,"December 28, 2023",O5353,"October 25, 2023",Burger King,Fries,Fast Food,5,$904.20,Card,22,"September 26, 2024",62,Active,1,"September 4, 2024",Delayed
C5719,Female,Teenager,Islamabad,"December 7, 2023",O9719,"October 25, 2023",Burger King,Sandwich,Fast Food,5,$800.07,Wallet,20,"August 5, 2025",203,Inactive,4,"March 14, 2025",Delayed
C6183,Other,Teenager,Lahore,"December 1, 2024",O10183,"October 26, 2023",Burger King,Fries,Fast Food,5,$618.18,Card,6,"March 16, 2025",406,Inactive,2,"March 18, 2025",Delivered
C4627,Other,Senior,Islamabad,"August 8, 2025",O8627,"October 27, 2023",Burger King,Fries,Dessert,3,$943.38,Wallet,10,"December 26, 2024",16,Inactive,3,"December 29, 2024",Cancelled
C4178,Female,Adult,Peshawar,"July 14, 2025",O8178,"October 27, 2023",Burger King,Pizza,Chinese,5,"$1,174.49",Wallet,13,"March 28, 2025",118,Inactive,2,"November 7, 2024",Cancelled
C4229,Female,Senior,Multan,"May 9, 2024",O8229,"October 27, 2023",Burger King,Burger,Italian,1,$303.30,Card,42,"August 30, 2024",457,Active,3,"October 14, 2024",Cancelled
C1226,Other,Teenager,Lahore,"January 31, 2025",O5226,"October 27, 2023",Burger King,Fries,Fast Food,5,"$1,053.52",Wallet,34,"February 8, 2025",186,Inactive,4,"November 22, 2024",Delayed
C1686,Male,Adult,Karachi,"July 27, 2024",O5686,"October 28, 2023",Burger King,Sandwich,Fast Food,5,"$1,480.61",Card,6,"November 10, 2024",490,Active,5,"February 25, 2025",Cancelled
C6247,Other,Senior,Islamabad,"April 10, 2024",O10247,"October 28, 2023",Burger King,Burger,Fast Food,5,$558.63,Card,21,"September 11, 2024",439,Active,1,"July 25, 2025",Cancelled
C2037,Male,Senior,Multan,"May 25, 2024",O6037,"October 31, 2023",Burger King,Fries,Chinese,1,"$1,049.51",Cash,26,"November 2, 2024",307,Active,4,"January 23, 2025",Delivered
C6791,Male,Senior,Peshawar,"January 7, 2025",O10791,"October 31, 2023",Burger King,Burger,Fast Food,2,$603.36,Card,13,"August 6, 2025",418,Inactive,3,"June 1, 2025",Delayed
C2822,Male,Adult,Peshawar,"May 29, 2025",O6822,"November 1, 2023",Burger King,Sandwich,Italian,2,$211.00,Wallet,10,"February 18, 2025",452,Active,4,"April 20, 2025",Delivered
C3090,Male,Adult,Karachi,"October 22, 2024",O7090,"November 1, 2023",Burger King,Burger,Continental,3,"$1,431.66",Cash,48,"May 14, 2025",302,Inactive,4,"October 31, 2024",Cancelled
C6137,Female,Senior,Islamabad,"May 7, 2025",O10137,"November 1, 2023",Burger King,Pizza,Fast Food,2,$789.22,Card,48,"May 16, 2025",393,Inactive,1,"October 5, 2024",Cancelled
C1851,Female,Adult,Peshawar,"March 18, 2024",O5851,"November 1, 2023",Burger King,Fries,Chinese,1,$805.06,Card,23,"January 13, 2025",361,Inactive,4,"September 10, 2024",Cancelled
C2499,Female,Senior,Karachi,"November 5, 2024",O6499,"November 2, 2023",Burger King,Burger,Chinese,4,$942.14,Wallet,17,"June 20, 2025",456,Inactive,2,"October 31, 2024",Delivered
C5297,Female,Senior,Karachi,"November 8, 2024",O9297,"November 2, 2023",Burger King,Pizza,Chinese,3,$804.41,Wallet,3,"February 6, 2025",340,Inactive,5,"May 27, 2025",Delayed
C6566,Male,Senior,Lahore,"June 2, 2024",O10566,"November 4, 2023",Burger King,Sandwich,Italian,3,$586.44,Wallet,50,"December 28, 2024",2,Inactive,1,"April 17, 2025",Delayed
C4894,Male,Teenager,Lahore,"June 9, 2024",O8894,"November 5, 2023",Burger King,Burger,Chinese,3,"$1,254.02",Card,48,"June 17, 2025",425,Inactive,3,"December 23, 2024",Delayed
C1085,Other,Senior,Karachi,"April 19, 2024",O5085,"November 5, 2023",Burger King,Fries,Chinese,4,$812.01,Wallet,48,"December 27, 2024",141,Inactive,3,"May 1, 2025",Cancelled
C1570,Female,Teenager,Lahore,"October 11, 2024",O5570,"November 7, 2023",Burger King,Pasta,Fast Food,4,$175.16,Wallet,24,"October 31, 2024",440,Active,4,"July 18, 2025",Delayed
C5003,Other,Teenager,Peshawar,"November 18, 2024",O9003,"November 7, 2023",Burger King,Fries,Chinese,1,"$1,254.70",Card,32,"January 3, 2025",145,Active,2,"September 27, 2024",Delayed
C3610,Other,Teenager,Karachi,"June 19, 2025",O7610,"November 8, 2023",Burger King,Pizza,Continental,3,$355.37,Wallet,34,"September 16, 2024",214,Inactive,3,"August 24, 2024",Delivered
C3811,Female,Teenager,Peshawar,"September 20, 2024",O7811,"November 8, 2023",Burger King,Pasta,Dessert,1,"$1,104.67",Card,19,"July 20, 2025",451,Inactive,3,"January 3, 2025",Delayed
C2521,Female,Adult,Peshawar,"June 20, 2024",O6521,"November 8, 2023",Burger King,Fries,Italian,5,$573.40,Card,49,"February 14, 2025",416,Active,1,"October 8, 2024",Delayed
C5004,Female,Senior,Peshawar,"June 10, 2024",O9004,"November 8, 2023",Burger King,Sandwich,Chinese,5,$327.79,Cash,17,"August 26, 2024",80,Inactive,1,"September 27, 2024",Delivered
